hotel_name,city,country,price_per_night_text,price_per_night,rating,review_count_text,review_count,stars,location,amenities
Ace Hotel Ben Thanh,Ho Chi Minh,Vietnam,"₫ 431,380",431380,7.4 Very good,"3,413 reviews",3413.0,3.0,"District 1, Ho Chi Minh City - City center","['Express check-in', 'Free WiFi']"
Hotel Nikko Saigon,Ho Chi Minh,Vietnam,"₫ 3,628,578",3628578,8.9 Excellent,"14,078 reviews",14078.0,5.0,"District 1, Ho Chi Minh City - City center","['Breakfast', 'Afternoon tea', 'Parking', '+7']"
Jovia Hotel,Ho Chi Minh,Vietnam,"₫ 1,461,260",1461260,8.6 Excellent,"2,246 reviews",2246.0,3.0,"District 1, Ho Chi Minh City - City center",[]
Lotus  Airport  Hotel Saigon,Ho Chi Minh,Vietnam,"₫ 557,526",557526,8.7 Excellent,"2,411 reviews",2411.0,3.0,"Tân Bình, Ho Chi Minh City - 4.6 km to center","['Parking', 'Express check-in', 'Free WiFi']"
ibis Saigon Airport,Ho Chi Minh,Vietnam,"₫ 1,467,000",1467000,8.6 Excellent,"13,106 reviews",13106.0,4.0,"Tân Bình, Ho Chi Minh City - 4.9 km to center","['Breakfast', 'Free WiFi', 'Airport transfer [both ways]']"
DAI NAM BOUTIQUE HOTEL,Ho Chi Minh,Vietnam,"₫ 960,956",960956,8.3 Excellent,"2,463 reviews",2463.0,4.0,"District 1, Ho Chi Minh City - City center","['Breakfast', 'Free WiFi']"
Sky Charm Hanoi Hotel and Spa,Hanoi,Vietnam,"₫ 641,044",641044,9.1 Exceptional,234 reviews,234.0,4.0,"Hoan Kiem District, Hanoi - City center","['Breakfast', 'Welcome drink', 'Parking', 'Free WiFi']"
Kecho Legacy Hotel & Spa,Hanoi,Vietnam,"₫ 1,238,810",1238810,9.1 Exceptional,"1,093 reviews",1093.0,5.0,"Old Quarter, Hanoi - City center","['Breakfast', 'Welcome drink', 'Spa discount', '+3']"
Ha Noi Memory Central Hotel & Spa,Hanoi,Vietnam,"₫ 374,947",374947,7.6 Very good,"2,719 reviews",2719.0,4.0,"Old Quarter, Hanoi - City center","['Breakfast', 'Welcome drink', 'Spa discount', '+4']"
Little Charm Hanoi Hostel,Hanoi,Vietnam,"₫ 250,814",250814,9.1 Exceptional,"6,703 reviews",6703.0,3.0,"Old Quarter, Hanoi - City center",[]
La Casa Di Dicembre 18 Hang Chao,Hanoi,Vietnam,"₫ 331,019",331019,8.9 Excellent,178 reviews,178.0,3.0,"Ba Dinh, Hanoi - 0.7 km to center",[]
Hanoi Daewoo Hotel,Hanoi,Vietnam,"₫ 2,190,240",2190240,8.4 Excellent,"6,456 reviews",6456.0,5.0,"Ba Dinh, Hanoi - 2.8 km to center","['Breakfast', 'Free fitness center access', '+5']"
Hanoi Le Chateau Hotel & Spa,Hanoi,Vietnam,"₫ 1,389,311",1389311,9.8 Exceptional,"2,820 reviews",2820.0,5.0,"Old Quarter, Hanoi - City center","['Breakfast', 'Free fitness center access', '+3']"
